#STEP: TEMPERATURA: MU: SIGMA: <H>: ERRORE:
445 0.0226114 0.726378 0.592579 -0.416428 0.00268321
446 0.0223853 0.732014 0.589302 -0.416243 0.00254812
447 0.0221614 0.741699 0.591766 -0.428573 0.00248685
448 0.0219398 0.732505 0.598641 -0.428401 0.00193906
449 0.0217204 0.722671 0.592664 -0.416336 0.0026699
450 0.0215032 0.730794 0.582596 -0.421829 0.00283682
451 0.0212882 0.729964 0.590741 -0.426523 0.0026325
452 0.0210753 0.739963 0.599878 -0.434732 0.00252491
453 0.0208645 0.740771 0.604007 -0.431609 0.00224396
454 0.0206559 0.735157 0.607887 -0.425507 0.00232938
455 0.0204493 0.73609 0.600321 -0.425621 0.00239871
456 0.0202448 0.733408 0.600903 -0.425783 0.00253563
457 0.0200424 0.732657 0.594865 -0.424543 0.00222893
458 0.0198419 0.723215 0.60432 -0.423634 0.00236482
459 0.0196435 0.722743 0.609636 -0.424119 0.00214803
460 0.0194471 0.720685 0.610538 -0.421408 0.00227983
461 0.0192526 0.720685 0.610538 -0.421176 0.00255387
462 0.0190601 0.728783 0.613601 -0.425842 0.00251389
463 0.0188695 0.72924 0.606787 -0.419595 0.00251984
464 0.0186808 0.723797 0.610741 -0.426746 0.00211314
465 0.018494 0.725501 0.618147 -0.424069 0.00239572
466 0.0183091 0.720649 0.610895 -0.422655 0.00233478
467 0.018126 0.720649 0.610895 -0.419958 0.00249889
468 0.0179447 0.713957 0.607943 -0.415804 0.00260157
469 0.0177653 0.718953 0.601043 -0.417736 0.00255075
470 0.0175876 0.721639 0.598206 -0.420808 0.00227337
